id,title,name,dataviz,uiux,newmedia,other
1,Mumbai Data,mumbaidata,1,1,0,0
2,Phnbk,phonebook,1,1,1,0
3,VR Kolkata,drs,0,1,1,0
4,IIT Tea,iittea,1,1,0,0
5,Holo-interface,hologram,1,1,1,0
6,Networtifact,dataexplorer,1,1,1,0
7,Lookup Mumbai,lookup,0,0,1,1
8,Cheese,cheese,0,1,1,1
9,Laikas ark,laika,0,1,0,1
10,Aai,aai,0,1,0,0
11,Keep watch,keepwatch,0,1,1,0
12,Vikasdilawari.in,vda,0,1,0,0
13,User studies,user,0,1,0,1
14,IITB Placements,service,0,1,0,1
15,Nota Infographic,nota,1,0,0,0
16,Vayu,vayu,0,0,1,0
17,Typot,typot,0,0,1,0
18,Jaltarang,jaltarang,0,0,1,0
19,AKOR,akor,0,1,0,0
20,IITB Heritage Fund,iitbhf,0,1,0,0
21,O-LAP,olap,0,0,1,1
22,Before 2014,arch,0,0,0,1
